Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,F (20/20),F (20/20),F (20/20),P,F (20/20),F
1,F (20/20),F (20/20),F (20/20),P,F (20/20),F
2,F (20/20),F (20/20),F (20/20),P,F (20/20),F
3,F (20/20),F (20/20),F (20/20),P,F (20/20),F
4,P,P,P,P,P,P
5,F (20/20),F (20/20),F (20/20),P,F (20/20),F
6,F (20/20),F (20/20),F (20/20),P,F (20/20),F
7,F (20/20),F (20/20),F (20/20),P,F (20/20),F
8,F (20/20),F (20/20),F (20/20),P,F (20/20),F
9,F (20/20),F (20/20),F (20/20),P,F (20/20),F
10,P,P,P,P,P,P
11,F (20/20),F (20/20),F (20/20),P,F (20/20),F
12,F (20/20),F (20/20),F (20/20),P,F (20/20),F
13,P,P,P,P,P,P
14,P,P,P,P,P,P
15,F (20/20),F (20/20),F (20/20),P,F (20/20),F
16,F (20/20),F (20/20),F (20/20),P,F (20/20),F
17,F (20/20),F (20/20),F (20/20),P,F (20/20),F
18,F (20/20),F (20/20),F (20/20),P,F (20/20),F
19,F (20/20),F (20/20),F (20/20),P,F (20/20),F
20,F (20/20),F (20/20),F (20/20),P,F (20/20),F
21,F (20/20),F (20/20),F (20/20),P,F (20/20),F
22,F (20/20),F (20/20),F (20/20),P,F (20/20),F
23,F (20/20),F (20/20),F (20/20),P,F (20/20),F
24,F (20/20),F (20/20),F (20/20),P,F (20/20),F
25,F (20/20),F (20/20),F (20/20),P,F (20/20),F
26,F (20/20),F (20/20),F (20/20),P,F (20/20),F
27,F (20/20),F (20/20),F (20/20),P,F (20/20),F
28,F (20/20),F (20/20),F (20/20),P,F (20/20),F
29,P,P,P,P,P,P
30,P,P,P,P,P,P
31,P,P,P,P,P,P
32,P,P,P,P,P,P
33,F (20/20),F (20/20),F (20/20),P,F (20/20),F
34,P,F (17/20),P,P,P,F
35,F (20/20),F (20/20),F (20/20),P,F (20/20),F
36,P,P,P,P,P,P
37,F (20/20),F (20/20),F (20/20),P,F (20/20),F
38,P,P,P,P,P,P
39,F (20/20),F (20/20),F (20/20),P,F (20/20),F
40,F (20/20),F (20/20),F (20/20),P,F (20/20),F
41,F (20/20),F (20/20),F (20/20),P,F (20/20),F
42,F (20/20),F (20/20),F (20/20),P,F (20/20),F
43,F (20/20),F (20/20),F (20/20),P,F (20/20),F
44,F (20/20),F (20/20),F (20/20),P,F (20/20),F
45,F (20/20),F (20/20),F (20/20),P,F (20/20),F
46,P,F (16/20),P,P,P,F
47,F (20/20),F (20/20),F (20/20),P,F (20/20),F
48,P,F (18/20),P,P,P,F
49,F (20/20),F (20/20),F (20/20),P,F (20/20),F
50,F (20/20),F (20/20),F (20/20),P,F (20/20),F
51,F (20/20),F (20/20),F (20/20),P,F (20/20),F
52,P,F (13/20),P,P,P,F
53,F (20/20),F (20/20),F (20/20),P,F (20/20),F
54,F (20/20),F (20/20),F (20/20),P,F (20/20),F
55,P,F (17/20),P,P,P,F
56,P,F (18/20),P,P,P,F
57,F (20/20),F (20/20),F (20/20),P,F (20/20),F
58,F (20/20),F (20/20),F (20/20),P,F (20/20),F
59,F (20/20),F (20/20),F (20/20),P,F (20/20),F
60,F (20/20),F (20/20),F (20/20),P,F (20/20),F
61,P,F (16/20),P,P,P,F
62,F (20/20),F (20/20),F (20/20),P,F (20/20),F
63,F (20/20),F (20/20),F (20/20),P,F (20/20),F
64,P,F (16/20),P,P,P,F
65,F (20/20),F (20/20),F (20/20),P,F (20/20),F
66,P,F (17/20),P,P,P,F
67,F (20/20),F (20/20),F (20/20),P,F (20/20),F
68,F (20/20),F (20/20),F (20/20),P,F (20/20),F
69,F (20/20),F (20/20),F (20/20),P,F (20/20),F
70,F (20/20),F (20/20),F (20/20),P,F (20/20),F
71,F (20/20),F (20/20),F (20/20),P,F (20/20),F
72,P,P,P,P,P,P
73,F (20/20),F (20/20),F (20/20),P,F (20/20),F
74,F (20/20),F (20/20),F (20/20),P,F (20/20),F
75,F (20/20),F (20/20),F (20/20),P,F (20/20),F
76,F (20/20),F (20/20),F (20/20),P,F (20/20),F
77,F (20/20),F (20/20),F (20/20),P,F (20/20),F
78,P,P,P,P,P,P
79,F (20/20),F (20/20),F (20/20),P,F (20/20),F
80,P,P,P,P,P,P
81,F (20/20),F (20/20),F (20/20),P,F (20/20),F
82,P,P,P,P,P,P
83,P,P,P,P,P,P
84,P,P,P,P,P,P
85,F (20/20),F (20/20),F (20/20),P,F (20/20),F
86,P,P,P,P,P,P
87,F (20/20),F (20/20),F (20/20),P,F (20/20),F
88,F (20/20),F (20/20),F (20/20),P,F (20/20),F
89,F (20/20),F (20/20),F (20/20),P,F (20/20),F
90,F (20/20),F (20/20),F (20/20),P,F (20/20),F
91,P,P,P,P,P,P
92,P,P,P,P,P,P
93,P,P,P,P,P,P
94,P,P,P,P,P,P
95,P,P,P,P,P,P
96,F (20/20),F (20/20),F (20/20),P,F (20/20),F
97,F (20/20),F (20/20),F (20/20),P,F (20/20),F
98,F (20/20),F (20/20),F (20/20),P,F (20/20),F
99,P,P,P,P,P,P
100,P,P,P,P,P,P
101,F (20/20),F (20/20),F (20/20),P,F (20/20),F
102,F (20/20),F (20/20),F (20/20),P,F (20/20),F
103,F (20/20),F (20/20),F (20/20),P,F (20/20),F
104,F (20/20),F (20/20),F (20/20),P,F (20/20),F
Total failures:,72,81,72,0,72,81
