Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
112,F (20/20),F (20/20),F (20/20),P,F (20/20),F
113,P,P,P,P,P,P
114,F (20/20),F (20/20),F (20/20),P,F (20/20),F
115,P,P,P,P,P,P
116,P,P,P,P,P,P
117,P,P,P,P,P,P
118,P,P,P,P,P,P
119,P,P,P,P,P,P
120,P,P,P,P,P,P
121,F (20/20),F (20/20),F (20/20),P,F (20/20),F
122,P,P,P,P,P,P
123,F (20/20),F (20/20),F (20/20),P,F (20/20),F
124,P,P,P,P,P,P
125,F (20/20),F (20/20),F (20/20),P,F (20/20),F
126,P,P,P,P,P,P
127,F (20/20),F (20/20),F (20/20),P,F (20/20),F
128,P,P,P,P,P,P
129,F (20/20),F (20/20),F (20/20),P,F (20/20),F
130,F (20/20),F (20/20),F (20/20),P,F (20/20),F
131,P,P,P,P,P,P
132,F (20/20),F (20/20),F (20/20),P,F (20/20),F
133,P,P,P,P,P,P
134,P,P,P,P,P,P
135,F (20/20),F (20/20),F (20/20),P,F (20/20),F
136,F (20/20),F (20/20),F (20/20),P,F (20/20),F
137,P,P,P,P,P,P
138,F (20/20),F (20/20),F (20/20),P,F (20/20),F
139,P,P,P,P,P,P
140,P,P,P,P,P,P
141,F (20/20),F (20/20),F (20/20),P,F (20/20),F
142,P,P,F (11/20),P,P,F
143,F (20/20),F (20/20),F (20/20),P,F (20/20),F
144,F (20/20),F (20/20),F (20/20),P,F (20/20),F
145,P,P,P,P,P,P
146,F (20/20),F (20/20),F (20/20),P,F (20/20),F
147,F (20/20),F (20/20),F (20/20),P,F (20/20),F
148,F (20/20),F (20/20),F (20/20),P,F (20/20),F
149,F (20/20),F (20/20),F (20/20),P,F (20/20),F
150,F (20/20),F (20/20),F (20/20),P,F (20/20),F
151,F (20/20),F (20/20),F (20/20),P,F (20/20),F
152,F (20/20),F (20/20),F (20/20),P,F (20/20),F
153,F (20/20),F (20/20),F (20/20),P,F (20/20),F
154,F (20/20),F (20/20),F (20/20),P,F (20/20),F
155,P,P,P,P,P,P
156,P,P,P,P,P,P
157,F (20/20),F (20/20),F (20/20),P,F (20/20),F
158,F (20/20),F (20/20),F (20/20),P,F (20/20),F
159,P,P,P,P,P,P
160,F (20/20),F (20/20),F (20/20),P,F (20/20),F
161,P,P,P,P,P,P
162,F (20/20),F (20/20),F (20/20),P,F (20/20),F
163,F (20/20),F (20/20),F (20/20),P,F (20/20),F
164,F (20/20),F (20/20),F (20/20),P,F (20/20),F
165,F (20/20),F (20/20),F (20/20),P,F (20/20),F
166,F (20/20),F (20/20),F (20/20),P,F (20/20),F
167,F (20/20),F (20/20),F (20/20),P,F (20/20),F
168,P,P,P,P,P,P
169,P,P,P,P,P,P
170,P,P,P,P,P,P
171,P,P,P,P,P,P
172,P,P,P,P,P,P
Total failures:,119,119,120,0,119,120
