Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,F (20/20),F (20/20),F (20/20),P,F (20/20),F
1,F (20/20),F (20/20),F (20/20),P,F (20/20),F
2,F (20/20),F (20/20),F (20/20),P,F (20/20),F
3,F (20/20),F (20/20),F (20/20),P,F (20/20),F
4,F (20/20),F (20/20),F (20/20),P,F (20/20),F
5,F (20/20),F (20/20),F (20/20),P,F (20/20),F
6,F (20/20),F (20/20),F (20/20),P,F (20/20),F
7,F (20/20),F (20/20),F (20/20),P,F (20/20),F
8,F (20/20),F (20/20),F (20/20),P,F (20/20),F
9,F (20/20),F (20/20),F (20/20),P,F (20/20),F
10,F (20/20),F (20/20),F (20/20),P,F (20/20),F
11,F (20/20),F (20/20),F (20/20),P,F (20/20),F
12,F (20/20),F (20/20),F (20/20),P,F (20/20),F
13,F (20/20),F (20/20),F (20/20),P,F (20/20),F
14,F (20/20),F (20/20),F (20/20),P,F (20/20),F
15,F (20/20),F (20/20),F (19/20),P,F (20/20),F
16,F (20/20),F (20/20),F (20/20),P,F (20/20),F
17,F (20/20),F (20/20),F (20/20),P,F (20/20),F
18,F (20/20),F (20/20),F (20/20),P,F (20/20),F
19,F (20/20),F (20/20),F (20/20),P,F (20/20),F
20,F (20/20),F (20/20),F (20/20),P,F (20/20),F
21,F (20/20),F (20/20),F (20/20),P,F (20/20),F
22,P,P,P,P,P,P
23,F (20/20),F (20/20),F (20/20),P,F (20/20),F
24,F (20/20),F (20/20),F (20/20),P,F (20/20),F
25,F (20/20),F (20/20),F (20/20),P,F (20/20),F
26,F (20/20),F (20/20),F (20/20),P,F (20/20),F
27,F (20/20),F (20/20),F (20/20),P,F (20/20),F
28,P,P,P,P,P,P
29,F (20/20),F (20/20),F (20/20),P,F (20/20),F
30,P,P,P,P,P,P
31,F (20/20),F (20/20),F (20/20),P,F (20/20),F
32,F (20/20),F (20/20),F (20/20),P,F (20/20),F
33,F (20/20),F (20/20),F (20/20),P,F (20/20),F
34,F (20/20),F (20/20),F (20/20),P,F (20/20),F
35,F (20/20),F (20/20),F (20/20),P,F (20/20),F
36,F (20/20),F (20/20),F (20/20),P,F (20/20),F
37,F (20/20),F (20/20),F (20/20),P,F (20/20),F
38,F (20/20),F (20/20),F (20/20),P,F (20/20),F
39,F (20/20),F (20/20),F (20/20),P,F (20/20),F
40,F (20/20),F (20/20),F (20/20),P,F (20/20),F
41,F (20/20),F (20/20),F (20/20),P,F (20/20),F
42,F (20/20),F (20/20),F (20/20),P,F (20/20),F
43,F (20/20),F (20/20),F (20/20),P,F (20/20),F
44,F (20/20),F (20/20),F (20/20),P,F (20/20),F
45,F (20/20),F (20/20),F (20/20),P,F (20/20),F
46,P,P,P,P,P,P
47,F (20/20),F (20/20),F (20/20),P,F (20/20),F
48,P,P,P,P,P,P
49,F (20/20),F (20/20),F (20/20),P,F (20/20),F
50,P,P,P,P,P,P
51,F (20/20),F (20/20),F (20/20),P,F (20/20),F
52,P,P,P,P,P,P
53,F (20/20),F (20/20),F (20/20),P,F (20/20),F
54,P,P,P,P,P,P
55,P,P,P,P,P,P
56,F (20/20),F (20/20),F (20/20),P,F (20/20),F
57,F (20/20),F (20/20),F (20/20),P,F (20/20),F
58,P,P,P,P,P,P
59,F (20/20),F (20/20),F (20/20),P,F (20/20),F
60,P,P,P,P,P,P
61,F (20/20),F (20/20),F (20/20),P,F (20/20),F
62,F (20/20),F (20/20),F (20/20),P,F (20/20),F
63,P,P,P,P,P,P
64,F (20/20),F (20/20),F (20/20),P,F (20/20),F
65,F (20/20),F (20/20),F (20/20),P,F (20/20),F
66,F (20/20),F (20/20),F (20/20),P,F (20/20),F
67,F (20/20),F (20/20),F (20/20),P,F (20/20),F
68,F (20/20),F (20/20),F (20/20),P,F (20/20),F
69,F (20/20),F (20/20),F (20/20),P,F (20/20),F
70,F (20/20),F (20/20),F (20/20),P,F (20/20),F
71,P,P,P,P,P,P
72,F (20/20),F (20/20),F (20/20),P,F (20/20),F
73,F (20/20),F (20/20),F (20/20),P,F (20/20),F
74,F (20/20),F (20/20),F (20/20),P,F (20/20),F
75,P,P,P,P,P,P
76,P,P,P,P,P,P
77,F (20/20),F (20/20),F (20/20),P,F (20/20),F
78,F (20/20),F (20/20),F (20/20),P,F (20/20),F
79,P,P,P,P,P,P
80,F (20/20),F (20/20),F (20/20),P,F (20/20),F
81,P,P,P,P,P,P
82,F (20/20),F (20/20),F (20/20),P,F (20/20),F
83,P,P,P,P,P,P
84,P,P,P,P,P,P
85,F (20/20),F (20/20),F (20/20),P,F (20/20),F
86,F (20/20),F (20/20),F (20/20),P,F (20/20),F
87,P,P,P,P,P,P
88,P,P,P,P,P,P
89,F (20/20),F (20/20),F (20/20),P,F (20/20),F
90,F (20/20),F (20/20),F (20/20),P,F (20/20),F
91,F (20/20),F (20/20),F (20/20),P,F (20/20),F
92,F (20/20),F (20/20),F (20/20),P,F (20/20),F
93,F (20/20),F (20/20),F (20/20),P,F (20/20),F
94,F (20/20),F (20/20),F (20/20),P,F (20/20),F
95,F (20/20),F (20/20),F (20/20),P,F (20/20),F
96,F (20/20),F (20/20),F (20/20),P,F (20/20),F
97,F (20/20),F (20/20),F (20/20),P,F (20/20),F
98,F (20/20),F (20/20),F (20/20),P,F (20/20),F
99,P,P,P,P,P,P
100,F (20/20),F (20/20),F (20/20),P,F (20/20),F
101,P,P,P,P,P,P
102,P,P,P,P,P,P
103,F (20/20),F (20/20),F (20/20),P,F (20/20),F
104,F (20/20),F (20/20),F (20/20),P,F (20/20),F
105,F (20/20),F (20/20),F (20/20),P,F (20/20),F
106,F (20/20),F (20/20),F (20/20),P,F (20/20),F
107,P,P,P,P,P,P
108,F (20/20),F (20/20),F (20/20),P,F (20/20),F
109,F (20/20),F (20/20),F (20/20),P,F (20/20),F
110,P,P,P,P,P,P
111,F (20/20),F (20/20),F (20/20),P,F (20/20),F
