Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,P,P,P,P,P
1,P,F (13/20),P,P,P,F
2,P,P,F (20/20),P,F (20/20),F
3,P,P,P,P,P,P
4,P,P,F (20/20),P,F (20/20),F
5,P,P,P,P,P,P
6,P,P,P,P,P,P
7,P,P,F (20/20),P,F (20/20),F
Total failures:,0,1,3,0,3,4
